fr,dje
Un prédateur est un animal qui chasse et tue naturellement d'autres animaux pour se nourrir.,Predatör ga ti alman ka ga alman fooyaŋ gungun k'i wi naturelman zama a ma ŋwa.
Une proie est un animal qui est chassé et tué par un autre pour se nourrir.,Prwa ga ti alman ka afa g'a gungun k'a wi zama a ma ŋwa.
La symbiose est une interaction étroite et à long terme entre deux espèces biologiques différentes.,Senbiyoz ga ti interaksyon ka maan ka ga gay espes biyolojik dumi ihinka game.
Le mutualisme est une symbiose bénéfique aux deux organismes impliqués.,Mitüalism ga ti senbiyoz ka ga nafa no alman ihinka ka go ra se.
Le commensalisme est une relation entre deux organismes dans laquelle l'un bénéficie et l'autre ne tire ni bénéfice ni préjudice.,"Komensalism ga ti alakaw alman ihinka game ka afo ga nafa du, afa si nafa wala laala du."
"Le parasitisme est une relation symbiotique dans laquelle un organisme, le parasite, vit sur ou dans un autre organisme, l'hôte, lui causant un certain préjudice.","Parazitism ga ti alakaw senbiyotik ka alman fo, parazito, ga goro alman fo boŋ wala a ra, oto, ka ga laala kayna te a se."
"Un écosystème forestier est une communauté d'organismes qui vivent dans une forêt, ainsi que l'environnement physique dans lequel ils vivent.","Ekosistem forestiye ga ti alman kominote ka ga goro saaji beeri ra, da nangu fizik ka i ga goro ra mo."
Un écosystème de prairie est dominé par les herbes et autres plantes non ligneuses.,"Ekosistem de preri, subu da tuuri ka si bundu fooyaŋ no g'a daabu."
Un écosystème désertique reçoit très peu de précipitations.,Ekosistem dezertik ga presipitasyon kayna gumo du.
Un écosystème aquatique est un écosystème dans un plan d'eau.,Ekosistem akwatik ga ti ekosistem hari nangu fo ra.
"Un écosystème marin se trouve dans l'eau salée, comme les océans.","Ekosistem marin ga goro hari ciiri ra, sanda oseyan."
"Un écosystème d'eau douce se trouve dans l'eau douce, comme les lacs et les rivières.","Ekosistem d'o dus ga goro hari ka si ciiri ra, sanda teeko da isey."
Un estuaire est une zone côtière partiellement fermée où l'eau douce d'une rivière ou d'un cours d'eau se mélange à l'eau salée de l'océan.,Estüer ga ti nangu kotiyer ka daŋante kayna ka isa wala hari zuru hari ka si ciiri ga margu nda oseyan hari ciiri.
Un récif corallien est une crête sous-marine de roche calcaire formée par la croissance et le dépôt de squelettes de coraux durs.,Resif korayen ga ti tondi kalker kuro hari cire wane ka koray ka gaabi beeriyaŋ da i skelet daŋyan ga te.
Une mangrove est un arbuste ou un petit arbre qui pousse dans les eaux côtières salines ou saumâtres.,Mangrov ga ti tuuri kayna wala tuuri ka ga te hari kotiyer ciiri wala ka ciiri kayna ra.
La toundra est un vaste biome sans arbres où la croissance des arbres est entravée par les basses températures et les courtes saisons de croissance.,Tundra ga ti biyom beeri ka sinda tuuri ka tuuri beeriyaŋ ga gaay tanperatir kayna da koraŋ kuuku do.
"La taïga, également connue sous le nom de forêt boréale, est un biome caractérisé par des forêts de conifères.","Tayga, ka i ga bay mo sanda saaji boreal, ga ti biyom ka saaji konifer g'a cabe."
Une forêt tropicale humide est une forêt caractérisée par de fortes précipitations.,Saaji tropikal imid ga ti saaji ka presipitasyon beeri g'a cabe.
Une savane est un écosystème de prairie mixte et de terres boisées caractérisé par des arbres suffisamment espacés pour que la canopée ne se ferme pas.,Savan ga ti ekosistem preri ka margu da laabu ka gonda tuuri ka tuurey ka fay gumo hala i boŋ si daŋ care g'a cabe.
"La géologie est la science qui traite de la structure physique et de la substance de la Terre, de leur histoire et des processus qui agissent sur elles.","Jeoloji ga ti science ka ga Ndunnya striktür fizik da a sibstans, i taariki da proses ka ga goy i boŋ hima."
Une roche est un agrégat naturel de minéraux solides.,Rosh ga ti mineral solid margu naturel.
"Un minéral est une substance solide naturelle, généralement inorganique, ayant une structure cristalline définie et une composition chimique spécifique.","Mineral ga ti sibstans solid naturel, waati boobo inorganik, ka gonda striktür kristalin ka i daŋ da konpozisyon shimik spesifik."
Les roches ignées se forment par le refroidissement et la solidification du magma ou de la lave.,Rosh inye ga te magma wala lav sumay da i sandiyaŋ do.
Les roches sédimentaires se forment par l'accumulation ou le dépôt de petites particules et la cimentation ultérieure de fragments minéraux ou organiques ou la précipitation de minéraux à partir d'une solution.,Rosh sedimanter ga te partikul kayna marguyan wala i daŋyan da mineral wala organik koso simantasyon ka te banda wala mineral presipitasyon solüsyon fo gaa do.
"Les roches métamorphiques se forment lorsque les roches existantes sont modifiées par la chaleur, la pression ou des solutions chimiquement actives.","Rosh metamorfik ga te waati ka rosh ka go sohon ga barmay gullum, presyon wala solüsyon shimikman aktiv do."
"Le cycle des roches est un concept de base en géologie qui décrit les transitions entre les trois principaux types de roches : sédimentaire, métamorphique et ignée.","Sikl de rosh ga ti konsep asasi jeoloji ra ka ga tranzisyon rosh dumi beeri ihinka game cabe: sedimanter, metamorfik da inye."
Un séisme est le résultat d'une libération soudaine d'énergie dans la croûte terrestre qui crée des ondes sismiques.,Seism ga ti enerji feeriyaŋ da waasu Ndunnya kuro ra ka ga ond sismik te albarka.
L'épicentre est le point à la surface de la Terre directement au-dessus du foyer ou de l'hypocentre d'un tremblement de terre.,Episantr no ga ti pwen Ndunnya boŋ ka go cimi laabu zinji fwaye wala iposantr boŋ.
L'échelle de Richter était une échelle de grandeurs numériques utilisée pour décrire la force des tremblements de terre.,Eshel de Rishter ga ti eshel grandör nimérik ka i ga goyandi zama i ma laabu zinji gaabo cabe.
L'échelle de magnitude de moment (Mw) est maintenant plus couramment utilisée pour mesurer la taille des tremblements de terre.,"Eshel de magnitid de moman (Mw), sohon i g'a goyandi ka bisa zama i ma laabu zinji beeriyaŋ lasaabu."
"Un tsunami est une série de vagues dans un plan d'eau causée par le déplacement d'un grand volume d'eau, généralement dans un océan ou un grand lac.","Tsunami ga ti vag margu fo hari nangu fo ra ka hari volim beeri diraw ga te, waati boobo oseyan wala teeko beeri ra."
"La paléontologie est l'étude scientifique de la vie qui existait avant, et parfois y compris, le début de l'Holocène (l'époque géologique actuelle).","Paleontoloji ga ti fundi ka go zaman, da waati fooyaŋ ka i daŋ ra, Olosen sintina (epok jeolojik ka go sohon) dondonyaŋ syantifik."
L'archéologie est l'étude de l'activité humaine à travers la récupération et l'analyse de la culture matérielle.,Arkeoloji ga ti boro goy dondonyaŋ kultür materiyel duuyan da a analyse teyan gaa.
"Un artefact est un objet fabriqué par un être humain, généralement un objet d'intérêt culturel ou historique.","Artefak ga ti obje ka boro te, waati boobo obje ka gonda enterê kültürel wala taariki."
La datation au carbone est une méthode permettant de déterminer l'âge d'un objet contenant de la matière organique en utilisant les propriétés du radiocarbone (un isotope radioactif du carbone).,Datasyon o karbon ga ti metod obje fo ka gonda mater organika jiiri bayyan se radiokarbon (karbon izotop radiyoaktif fo) kaanoyaŋ goyandiyan do.
"L'histoire est l'étude des événements passés, en particulier en relation avec l'humanité.","Taariki ga ti hay ka bisa dondonyaŋ, sankara boro hima."
"Une civilisation est toute société complexe caractérisée par le développement urbain, la stratification sociale, une forme de gouvernement et des systèmes de communication symboliques (tels que l'écriture).","Siivilizasyon ga ti margu sandi kul ka developpeman urban, stratifikasyon sosyal, gobernemant dumi fo da sistem komunikasyon senbolik (sanda hantumyaŋ) g'a cabe."
"Un empire est un groupe étendu d'États ou de pays sous une seule autorité suprême, anciennement surtout un empereur ou une impératrice.","Anpiir ga ti Eta wala laabu margu ka feeri ka go otorite siprem foloko cire, zaman sankara anperör wala anperatris."
Une dynastie est une lignée de dirigeants héréditaires d'un pays.,Dinasti ga ti laabu fo bonkooney ka ga tubu care ceeri.
Une révolution est un renversement fondamental du pouvoir ou des structures organisationnelles qui a lieu sur une période de temps relativement courte lorsque la population se soulève en révolte contre les autorités actuelles.,Revolüsyon ga ti gaabi wala striktür organizasyonel barmayan fondamental ka ga te waati ka kuuru kayna ra waati ka popülasyon ga tun ka wongu te otorite ka go sohon se.
La guerre est un état de conflit armé entre différents pays ou groupes au sein d'un pays.,Wongu ga ti wongu da jinay alhaali laabu dumi boobo wala margu laabu fo ra game.
La paix est un état de tranquillité ou de quiétude ; une absence de perturbation ou de violence.,Lafiya ga ti siiray wala hawru alhaali; dambara wala fitina si teyan.
"La diplomatie est la profession, l'activité ou l'habileté de gérer les relations internationales, généralement par les représentants d'un pays à l'étranger.","Diplomasi ga ti profesyon, aktivite wala hinne relasyon enternasyonal daabu wane, waati boobo laabu fo borey do laabu fo banda ra."
Un traité est un accord formellement conclu et ratifié entre États.,Trete ga ti akord ka i te da fahamandi ka i yadda Eta game.
"Le droit international est l'ensemble des règles, normes et standards généralement acceptés comme contraignants entre les nations.","Drwa enternasyonal ga ti fonda, norm da standar ka i ga yadda waati boobo sanda i ga haw nasyon game marganta."
Les droits de l'homme sont des droits moraux ou des normes qui décrivent certaines normes de comportement humain et sont régulièrement protégés comme des droits naturels et légaux dans le droit municipal et international.,"Drwa de l'om ga ti drwa moral wala norm ka ga boro alhaali norm fooyaŋ cabe, i g'i gaay waati boobo sanda drwa naturel da legal drwa minisipal da enternasyonal ra."
"La démocratie est un système de gouvernement dans lequel les citoyens exercent le pouvoir directement ou élisent des représentants parmi eux pour former un organe directeur, tel qu'un parlement.","Demokrasi ga ti sistem gobernemant ka sitwayen ga gaabi te cimi wala ka borey suuba ngey game zama i ma organ ka ga daabu te, sanda parlaman."
"Une république est une forme de gouvernement dans laquelle le pays est considéré comme une ""affaire publique"", et non comme la propriété privée ou la propriété des dirigeants, et où les fonctions publiques sont par conséquent directement ou indirectement élues ou nommées plutôt qu'héritées.","Repiblik ga ti gobernemant dumi fo ka i ga laabo lasaabu sanda ""hay publik"", manti bonkooney hay sahasi wala i bandatara, da ka fonksyon publik ga te da cimi wala si cimi i suubuyan wala i daŋyan do manti tubuyan."
"Une monarchie est une forme de gouvernement dans laquelle une personne, le monarque, est chef de l'État à vie ou jusqu'à l'abdication.","Monarshi ga ti gobernemant dumi fo ka boro fo, monarko, ga ti Eta bonkoono fundi kul wala hala a ma nga boŋ naŋ."
Une dictature est une forme de gouvernement caractérisée par un seul dirigeant ou un petit groupe avec peu ou pas de tolérance pour le pluralisme politique ou les médias indépendants.,Diktatür ga ti gobernemant dumi fo ka bonkoon foloko wala margu kayna ka gonda suuru kayna wala kulu si pluralism politik wala mediya ka si boro fo hima se g'a cabe.
"Le totalitarisme est un concept désignant une forme de gouvernement et un système politique qui interdit tous les partis d'opposition, interdit l'opposition individuelle à l'État et à ses revendications, et exerce un degré extrêmement élevé de contrôle sur la vie publique et privée.","Totalitarism ga ti konsep ka ga gobernemant dumi fo da sistem politik ka ga parti opozisyon kul gaay, ka ga boro foloko Eta da a laamey gaayumi gaay, ka ga kontrol ka ziji gumo te fundi publik da prive boŋ cabe."
L'anarchie est un état de désordre dû à l'absence ou à la non-reconnaissance de l'autorité.,Anarshi ga ti laala alhaali otorite si teyan wala i si bayyan do.
Le capitalisme est un système économique dans lequel les moyens de production sont largement ou entièrement détenus par des particuliers et exploités à des fins lucratives.,"Kapitalism ga ti sistem ekonomik ka prodüksyon jinay ga goro sankara wala kul boro sahasi kambey ra, i g'i goyandi nooru se."
"Le socialisme est une idéologie politique, sociale et économique et un mouvement dont le but est l'établissement d'une société socialiste, définie comme un ordre socio-économique basé sur la propriété sociale des moyens de production et l'autogestion des travailleurs de ceux-ci.","Sosyalism ga ti ideoloji politik, sosyal da ekonomik da muvman ka a muraado ga ti margu sosyalist teyan, ka i definisyon te sanda lordi sosyo-ekonomik ka ga kay prodüksyon jinay bandatara sosyal boŋ da goykoy ngey boŋ daabu i boŋ."
"Le communisme est une idéologie et un mouvement philosophiques, sociaux, politiques et économiques dont le but ultime est l'établissement d'une société communiste, à savoir un ordre socio-économique structuré sur les idées de propriété commune des moyens de production et l'absence de classes sociales, d'argent et de l'État.","Kominism ga ti ideoloji da muvman filosofik, sosyal, politik da ekonomik ka a muraadu bananta ga ti margu kominist teyan, sanda lordi sosyo-ekonomik ka i striktür te miila prodüksyon jinay bandatara komun boŋ da klas sosyal, nooru da Eta si teyan."
"L'économie est la science sociale qui étudie la production, la distribution et la consommation de biens et de services.","Ekonomi ga ti science sosyal ka ga hayey da servis prodüksyon, i distribüsyon da i konsomasyon dondon."
La microéconomie est une branche de l'économie qui étudie le comportement des individus et des entreprises dans la prise de décisions concernant l'allocation des ressources rares et les interactions entre ces individus et ces entreprises.,Mikroekonomi ga ti ekonomi kambe fo ka ga borey da antrepriz alhaali dondon anniya teyan resurs ka si boobo alokasyon da interaksyon borey din da antreprizey din game hima.
"La macroéconomie est une branche de l'économie traitant de la performance, de la structure, du comportement et de la prise de décision d'une économie dans son ensemble.","Makroekonomi ga ti ekonomi kambe fo ka ga ekonomi fo performans, a striktür, a alhaali da a anniya teyan a kulanta hima."
Le produit intérieur brut (PIB) est une mesure monétaire de la valeur marchande de tous les biens et services finaux produits au cours d'une période de temps spécifique.,Produit intérieur brut (PIB) ga ti hayey da servis final kul ka i te waati folokante fo ra kaaso alhorma lasaabu monetar.
L'inflation est une augmentation générale des prix des biens et services dans une économie sur une période de temps.,Enflasyon ga ti hayey da servis sanda kul beeriyaŋ ekonomi fo ra waati fo boŋ.
Le chômage est la situation des personnes qui sont sans emploi mais qui sont disponibles pour travailler et qui ont activement cherché du travail.,Shomaj ga ti borey ka sinda goy amma ka go no zama i ma goy ka na goy gungun da gaabi alhaali.
"La politique monétaire est le processus par lequel l'autorité monétaire d'un pays, comme la banque centrale ou le conseil monétaire, contrôle l'offre de monnaie, souvent en ciblant un taux d'intérêt pour atteindre un ensemble d'objectifs orientés vers la croissance et la stabilité de l'économie.","Politik monetar ga ti proses ka laabu fo otorite monetar, sanda bank santral wala konseiy monetar, ga nooru nooyan daabu, waati boobo ka ga tere to fo sibla zama a ma muraadu margu fo ka ga koy ekonomi beeriyaŋ da a tabatandi gaa to."
La politique fiscale est l'utilisation des dépenses publiques et de la fiscalité pour influencer l'économie.,Politik fiskal ga ti gobernemant wiyyaŋ da taks goyandiyaŋ zama a ma ekonomi di.
Un marché est un lieu où les acheteurs et les vendeurs peuvent se rencontrer pour faciliter l'échange ou la transaction de biens et de services.,Kaaso ga ti nangu ka daykaw da neerakaw ga hin ka kubay zama i ma hayey da servis barmay wala i tranzaksyon farhandi.
L'offre et la demande est un modèle économique de détermination des prix sur un marché.,Nooyan da laamiya ga ti model ekonomik sanda teyan kaaso fo ra wane.
La concurrence est une situation dans laquelle les entreprises se font concurrence pour les clients.,Konkirans ga ti alhaali ka antrepriz ga care wongu kliyan se.
Un monopole est une situation dans laquelle une seule entreprise ou un seul groupe possède la totalité ou la quasi-totalité du marché pour un type de produit ou de service donné.,Monopol ga ti alhaali ka antrepriz wala margu foloko gonda kaaso kul wala a baayaŋ prodi wala servis dumi ka i no fo se.
"Le commerce international est l'échange de capital, de biens et de services à travers les frontières ou territoires internationaux.","Kommers enternasyonal ga ti kapital, hayey da servis barmay kange wala laabu enternasyonal gaa."
"La mondialisation est le processus d'interaction et d'intégration entre les personnes, les entreprises et les gouvernements du monde entier.","Mondiyalizasyon ga ti interaksyon da entegrasyon proses borey, antrepriz da gobernemant ndunnya kul wane game."
"La sociologie est l'étude de la société, des modèles de relations sociales, de l'interaction sociale et de la culture qui entoure la vie quotidienne.","Sosyoloji ga ti margu, alakaw sosyal model, interaksyon sosyal da kultür ka ga zaari kul fundi windi dondonyaŋ."
"La culture est un concept général qui englobe les croyances sociales, les normes sociales et les artefacts matériels que l'on trouve couramment dans les sociétés humaines, ainsi que les significations que les gens attribuent à ces éléments.","Kültür ga ti konsep jeneral ka ga naanay sosyal, norm sosyal da artefak materiyel ka i ga du waati boobo boro margu ra daŋ ra, da konno ka borey ga no elemaney din se mo."
La socialisation est le processus d'intériorisation des normes et des idéologies d'une société.,Sosyalizasyon ga ti margu fo norm da ideolojiyey daŋyan cire proses.
"La stratification sociale est un concept impliquant la classification des personnes en groupes sur la base de facteurs socio-économiques partagés tels que la richesse, le revenu, la race, l'éducation, l'ethnicité, le sexe, la profession, le statut social ou le pouvoir dérivé (social et politique).","Stratifikasyon sosyal ga ti konsep ka borey klasifikasyon margu ra faktör sosyo-ekonomik ka i ga fay boŋ sanda arzaka, duuyaŋ, ras, karam, etnisite, janr, profesyon, stati sosyal wala gaabi ka fun (sosyal da politik) go ra."
"L'inégalité sociale se produit lorsque les ressources d'une société donnée sont réparties de manière inégale, généralement par le biais de normes d'allocation, qui engendrent des modèles spécifiques le long des lignes de catégories de personnes socialement définies.","Inegalite sosyal ga te waati ka margu ka i no fo resurs ga fayfay mate ka si saba, waati boobo alokasyon norm do, ka ga model spesifik te boro kategori ka margu ga definisyon te ceeri boŋ."
La pauvreté est un état ou une condition dans lequel une personne ou une communauté manque des ressources financières et des éléments essentiels pour un niveau de vie minimum.,Talkataray ga ti alhaali wala kondisyon ka boro wala kominote fo ga resurs finansiye da hay esansiyel fundi nivo minimom se si.
"Un groupe social est deux personnes ou plus qui interagissent les unes avec les autres, partagent des caractéristiques similaires et ont collectivement un sentiment d'unité.","Grup sosyal ga ti boro ihinka wala ka bisa ka ga interaksyon te care banda, ka ga alhaali ka hima care fay, ka gonda margu bine margante."
"Une communauté est une unité sociale (un groupe d'organismes vivants) ayant une communalité telle que des normes, une religion, des valeurs, des coutumes ou une identité.","Kominote ga ti unite sosyal (alman fundikooniyaŋ margu fo) ka gonda kominalite sanda norm, diina, alhorma, adetey wala identite."
"L'urbanisation est le processus par lequel les populations se déplacent des zones rurales vers les zones urbaines, permettant aux villes et aux villages de croître.","Urbanizasyon ga ti proses ka popülasyon ga fun nangu rural gaa ka koy nangu urban gaa, ka ga naŋ birni da kwaara ma beeri."
Le changement social est toute altération significative au fil du temps des modèles de comportement et des valeurs et normes culturelles.,Shanjman sosyal ga ti alhaali model da alhorma da norm kültürel barmay ka gonda alhorma kul waati ra.
Un mouvement social est un type d'action de groupe. Il s'agit de grands regroupements informels d'individus ou d'organisations qui se concentrent sur des questions politiques ou sociales spécifiques.,Muvman sosyal ga ti aksyon grup wane dumi fo. A ga ti borey wala organizasyon margu beeri ka si formel ka ga laakal daŋ hãlli politik wala sosyal spesifik boŋ.
"L'anthropologie est l'étude scientifique de l'humanité, concernée par le comportement humain, la biologie humaine, les cultures et les sociétés, à la fois dans le présent et dans le passé, y compris les sociétés humaines passées et leurs origines.","Antropoloji ga ti boro dondonyaŋ syantifik, ka ga boro alhaali, boro biyoloji, kultür da margu hima, sohon da zaman ra mo, ka boro zamaney margu da i sintina go ra."
L'anthropologie culturelle est une branche de l'anthropologie axée sur l'étude de la variation culturelle chez les humains.,Antropoloji kültürel ga ti antropoloji kambe fo ka ga laakal daŋ varyasyon kültürel borey ra dondonyaŋ boŋ.
L'ethnographie est la description systématique des peuples et des cultures.,Etnografi ga ti borey da kultür cabe sistematik.
"La parenté est le réseau de relations sociales qui forme une partie importante de la vie de la plupart des humains dans la plupart des sociétés, bien que sa signification exacte varie même au sein d'une même culture.","Bandatara ga ti alakaw sosyal rezo ka ga boro baayaŋ fundi kambe ka tilas te margu baayaŋ ra, baa nda a konno cimi ga barmay baa kultür foloko ra."
"Le mariage est une union culturellement reconnue entre des personnes, appelées conjoints, qui établit des droits et des obligations entre elles, ainsi qu'entre elles et leurs enfants, et entre elles et leurs beaux-parents.","Hiijay ga ti margu ka kultür ga yadda borey game, ka i ga ce hiijantey, ka ga alhakku da farilla daŋ i game, da i da i izey game, da i da i hiijay almayaaley game mo."
"La famille est un groupe de personnes affiliées soit par consanguinité (par naissance reconnue), affinité (par mariage ou autre relation), soit par co-résidence (comme dans certaines définitions de la famille) ou une combinaison de celles-ci.","Almayaaley ga ti boro margu fo ka haw care gaa wala konsanginite do (duuyan ka i ga yadda do), afinite do (hiijay wala alakaw fo do), wala ko-rezidans do (sanda almayaaley definisyon fooyaŋ ra) wala i margu."
"La religion est un système social et culturel de comportements et de pratiques désignés, de morale, de visions du monde, de textes, de lieux sanctifiés, de prophéties, d'éthique ou d'organisations, qui relie l'humanité à des éléments surnaturels, transcendantaux et spirituels.","Diina ga ti sistem sosyal da kültürel alhaali da pratik ka i daŋ, moral, ndunnya guna, tira, nangu ka i hanse, annabitaray, etik wala organizasyon wane, ka ga boro haw da eleman ka bisa natuur, ka bisa ndunnya da spiritüel."
"La mythologie fait référence soit au corpus étudié de mythes d'une culture, soit à l'étude de ces mythes.","Mitoloji ga cabe wala kultür fo miit margu ka i ga dondon, wala miitey din dondonyaŋ."
"Un rituel est une séquence d'activités impliquant des gestes, des mots, des actions ou des objets, exécutée dans un lieu séquestré et selon une séquence fixe.","Ritüel ga ti aktivite sekans fo ka jest, sanni, aksyon wala obje go ra, ka i ga te nangu ka i fayandi ra da sekans fiks boŋ."
"La perception est l'organisation, l'identification et l'interprétation des informations sensorielles afin de représenter et de comprendre les informations ou l'environnement présentés.","Persepsyon ga ti information sensoriyel organizasyon, i bayyan da i fahamandiyan zama i ma information wala nangu ka i cabe cabe k'a faham."
"L'attention est le processus comportemental et cognitif de concentration sélective sur un aspect discret de l'information, qu'elle soit considérée comme subjective ou objective, tout en ignorant d'autres informations perceptibles.","Atansyon ga ti proses alhaali da kognitif laakal daŋyan selektiv information alhaali diskre fo boŋ, baa i g'a lasaabu sanda sibjektif wala objektiv, ka ga information ka di fooyaŋ si guna."
"La mémoire est la faculté de l'esprit par laquelle les données ou les informations sont encodées, stockées et récupérées en cas de besoin.","Memwar ga ti laakal fakülte ka donnée wala information ga enkode, i g'i stoke, i g'i du koyne waati ka laamiya."
"L'apprentissage est le processus d'acquisition de nouvelles compréhensions, connaissances, comportements, compétences, valeurs, attitudes et préférences.","Aprantisaj ga ti fahamyaŋ, bayray, alhaali, hinne, alhorma, atitid da preferans taji duuyan proses."
"L'émotion, dans son usage quotidien, est un état affectif ou un sentiment.","Emosyon, a goyandiyan zaari kul ra, ga ti alhaali afektif wala bine alhaali."
"La motivation est la raison pour laquelle les humains et autres animaux initient, continuent ou terminent un comportement à un moment particulier.","Motivasyon no ga ti sabbay ka borey da alman fooyaŋ ga alhaali fo sintin, k'a gaay wala k'a ban waati folokante fo ra."
"La personnalité est le schéma caractéristique des pensées, des sentiments et des comportements qui distinguent une personne d'une autre.","Personalite ga ti miiley, bine alhaali da alhaali alhaali ka g'a cabe ka ga boro fo fay da afa."
"L'intelligence a été définie de nombreuses façons : la capacité de logique, de compréhension, de conscience de soi, d'apprentissage, de connaissance émotionnelle, de raisonnement, de planification, de créativité, de pensée critique et de résolution de problèmes.","Entelijans, i n'a definisyon te mate boobo: hinne lojik, fahamyaŋ, boŋ bayyan, aprantisaj, bayray emosyonel, lasaabu teyan, plan teyan, kreyativite, miila kritik da problem fondey cebe wane."
Un trouble mental est un schéma comportemental ou mental qui cause une détresse ou une déficience importante du fonctionnement personnel.,Trubl mental ga ti alhaali wala miila alhaali ka ga bine haw wala defisiyans ka tilas te fonksyonman personel ra.
"La psychothérapie est l'utilisation de méthodes psychologiques, en particulier lorsqu'elles sont basées sur une interaction personnelle régulière, pour aider une personne à changer de comportement et à surmonter des problèmes de manière souhaitée.","Psikoterapi ga ti metod psikolojik goyandiyan, sankara waati ka i ga kay interaksyon personel ka ga te waati kul boŋ, zama i ma boro fo faaba a ma alhaali barmay, a ma problemey bisa mate ka i ga baa."
"La philosophie est l'étude de questions générales et fondamentales, telles que celles concernant l'existence, la connaissance, les valeurs, la raison, l'esprit et le langage.","Filosofi ga ti hãlli jeneral da fondamental dondonyaŋ, sanda ngey ka hima goro, bayray, alhorma, lasaabu, laakal da sanni."
"La métaphysique est la branche de la philosophie qui examine la nature fondamentale de la réalité, y compris la relation entre l'esprit et la matière, entre la substance et l'attribut, et entre la potentialité et l'actualité.","Metafizik ga ti filosofi kambe fo ka ga cimi alhaali fondamental guna, ka alakaw laakal da mater game, sibstans da atribi game, da potansiyalite da aktüalite game go ra."
L'épistémologie est la branche de la philosophie concernée par la théorie de la connaissance.,Epistemoloji ga ti filosofi kambe fo ka ga teyori bayray wane hima.
"L'éthique ou philosophie morale est une branche de la philosophie qui ""implique la systématisation, la défense et la recommandation de concepts de conduite juste et injuste"".","Etik wala filosofi moral ga ti filosofi kambe fo ka ""ga alhaali adili da ka si adili konsep sistematizasyon, i gaayumi da i rekomandasyon daŋ ra""."
La logique est l'étude systématique de la forme de l'inférence et du raisonnement valides.,Lojik ga ti enferans da lasaabu ka cimi dumi dondonyaŋ sistematik.
"L'art est une gamme variée d'activités humaines dans la création d'artefacts visuels, auditifs ou performatifs (œuvres d'art), exprimant l'habileté imaginative, conceptuelle ou technique de l'auteur, destinées à être appréciées pour leur beauté ou leur pouvoir émotionnel.","Art ga ti boro goy dumi boobo artefak vizüel, oditif wala performatif (goy art wane) teyan ra, ka ga otör hinne imajinativ, konseptüel wala teknik cabe, ka muraado ga ti ka i ma kaanu i kaanoyaŋ wala i gaabi emosyonel se."
La musique est une forme d'art et une activité culturelle dont le support est le son organisé dans le temps.,Mizik ga ti art dumi fo da aktivite kültürel ka a gaayumo ga ti jinde ka soola waati ra.
"La littérature comprend au sens large toute collection d'œuvres écrites, mais elle est également utilisée plus spécifiquement pour les écrits considérés comme une forme d'art, en particulier la fiction en prose, le théâtre et la poésie.","Literatir ra, da fahamandi, goy ka i hantum kul marganta go no, amma i g'a goyandi mo da spesifik hantum ka i ga lasaabu sanda art dumi fo, sankara miila proz ra, teyatr da powezi."
"Le théâtre est une forme collaborative d'art de la performance qui utilise des interprètes vivants, généralement des acteurs ou des actrices, pour présenter l'expérience d'un événement réel ou imaginaire devant un public vivant dans un lieu spécifique, souvent une scène.","Teyatr ga ti art performans wane dumi kolaborativ fo ka ga enterpret fundikooniyaŋ goyandi, waati boobo aktör wala aktris, zama i ma hay ka te cimi wala miila esperiyans cabe jama fundikooni fo jine nangu spesifik fo ra, waati boobo sen."
La danse est un art de la performance composé de séquences de mouvements humains volontairement sélectionnées.,Gambu ga ti art performans wane ka ga te da boro diraw sekans ka i suuba da anniya.
"La peinture est la pratique consistant à appliquer de la peinture, du pigment, de la couleur ou un autre support sur une surface solide (appelée la ""matrice"" ou le ""support"").","Pentür ga ti pentür, pigman, fär wala suport fooyaŋ daŋyan sirfas solid fo boŋ (ka i ga ce ""matris"" wala ""suport"") pratik."
La sculpture est la branche des arts visuels qui opère en trois dimensions.,Skültür ga ti art vizüel kambe fo ka ga goy dimensyon ihinza ra.
"L'architecture est à la fois le processus et le produit de la planification, de la conception et de la construction de bâtiments ou d'autres structures.","Arshitektur ga ti proses da prodi plan teyan, dizayn da batiman wala striktür fooyaŋ teyan wane kul."
"La photographie est l'art, l'application et la pratique de la création d'images durables en enregistrant la lumière, soit électroniquement au moyen d'un capteur d'image, soit chimiquement au moyen d'un matériau sensible à la lumière tel qu'un film photographique.","Fotografi ga ti art, aplikasyon da pratik foto ka ga gay teyan kaari enrejistreyan do, wala elektronikman kaptör imaj do, wala shimikman materiyo ka ga kaari guna do sanda film fotografik."
"Le cinéma, également connu sous le nom de film ou de motion picture, est l'art de simuler des expériences pour communiquer des idées, des histoires, des perceptions, des sentiments, de la beauté ou une atmosphère au moyen d'images enregistrées ou programmées ainsi que d'autres stimulations sensorielles.","Sinema, ka i ga bay mo sanda film wala moshiyon piktyur, ga ti art esperiyans himandiyan wane zama a ma miila, baaro, persepsyon, bine alhaali, kaanoyaŋ wala atmosfer sanni te foto ka i enrejistre wala ka i program te da stimilasyon sensoriyel fooyaŋ do."
L'ingénieur a conçu un nouveau type de moteur.,Enjeniyer na motör dumi taji fo plan te.
Le satellite transmet des données météorologiques.,Satelit ga donnée meteorolojik konda.
L'algorithme optimise le trajet du véhicule.,Algoritm ga vehikil fonda taysandi.
La cellule solaire convertit la lumière en électricité.,Selil soler ga kaari barmay ka te elektrisite.
Le microscope électronique permet d'observer des structures infimes.,Mikroskop elektronik ga naŋ boro ma striktür kayna gumo di.
